graph_id,qber,signal_count,decoy_count,is_attacked,key_loss
0,0.0133,6309,1261,0,0.0
0,0.0111,5754,1150,0,0.0
0,0.2504,2731,209,1,0.9799
0,0.0296,6025,1205,0,0.0
1,0.0159,6309,1261,0,0.0
1,0.0153,5754,1150,0,0.0
1,0.0149,5011,1002,0,0.0
1,0.0243,6025,1205,0,0.0
2,0.2277,3176,199,1,0.8156
2,0.0239,5754,1150,0,0.0
2,0.0151,5011,1002,0,0.0
2,0.0249,6025,1205,0,0.0
3,0.0294,6309,1261,0,0.0
3,0.018,5754,1150,0,0.0
3,0.184,2205,147,1,0.9133
3,0.0251,6025,1205,0,0.0
4,0.0199,6309,1261,0,0.0
4,0.0232,5754,1150,0,0.0
4,0.0139,5011,1002,0,0.0
4,0.0126,6025,1205,0,0.0
5,0.0205,6309,1261,0,0.0
5,0.0266,5754,1150,0,0.0
5,0.014,5011,1002,0,0.0
5,0.0176,6025,1205,0,0.0
6,0.027,6309,1261,0,0.0
6,0.011,5754,1150,0,0.0
6,0.0217,5011,1002,0,0.0
6,0.0276,6025,1205,0,0.0
7,0.0597,5570,1041,1,0.1908
7,0.0261,5754,1150,0,0.0
7,0.0246,5011,1002,0,0.0
7,0.0267,6025,1205,0,0.0
8,0.0219,6309,1261,0,0.0
8,0.0275,5754,1150,0,0.0
8,0.0211,5011,1002,0,0.0
8,0.0113,6025,1205,0,0.0
9,0.0121,6309,1261,0,0.0
9,0.0215,5754,1150,0,0.0
9,0.0207,5011,1002,0,0.0
9,0.0112,6025,1205,0,0.0
10,0.029,6309,1261,0,0.0
10,0.0263,5754,1150,0,0.0
10,0.0204,5011,1002,0,0.0
10,0.026,6025,1205,0,0.0
11,0.0223,6309,1261,0,0.0
11,0.0209,5754,1150,0,0.0
11,0.0216,5011,1002,0,0.0
11,0.0159,6025,1205,0,0.0
12,0.0217,6309,1261,0,0.0
12,0.0263,5754,1150,0,0.0
12,0.0256,5011,1002,0,0.0
12,0.0154,6025,1205,0,0.0
13,0.0234,6309,1261,0,0.0
13,0.019,5754,1150,0,0.0
13,0.02,5011,1002,0,0.0
13,0.0661,5712,1017,1,0.1868
14,0.025,6309,1261,0,0.0
14,0.015,5754,1150,0,0.0
14,0.0146,5011,1002,0,0.0
14,0.0115,6025,1205,0,0.0
15,0.0288,6309,1261,0,0.0
15,0.0173,5754,1150,0,0.0
15,0.0227,5011,1002,0,0.0
15,0.0261,6025,1205,0,0.0
16,0.0265,6309,1261,0,0.0
16,0.0167,5754,1150,0,0.0
16,0.013,5011,1002,0,0.0
16,0.0242,6025,1205,0,0.0
17,0.0202,6309,1261,0,0.0
17,0.0179,5754,1150,0,0.0
17,0.0229,5011,1002,0,0.0
17,0.0161,6025,1205,0,0.0
18,0.0229,6309,1261,0,0.0
18,0.0233,5754,1150,0,0.0
18,0.011,5011,1002,0,0.0
18,0.0267,6025,1205,0,0.0
19,0.0295,6309,1261,0,0.0
19,0.0224,5754,1150,0,0.0
19,0.0282,5011,1002,0,0.0
19,0.021,6025,1205,0,0.0
20,0.0219,6309,1261,0,0.0
20,0.0139,5754,1150,0,0.0
20,0.0224,5011,1002,0,0.0
20,0.0234,6025,1205,0,0.0
21,0.0111,6309,1261,0,0.0
21,0.0289,5754,1150,0,0.0
21,0.0282,5011,1002,0,0.0
21,0.0299,6025,1205,0,0.0
22,0.0293,6309,1261,0,0.0
22,0.0162,5754,1150,0,0.0
22,0.024,5011,1002,0,0.0
22,0.0206,6025,1205,0,0.0
23,0.0113,6309,1261,0,0.0
23,0.0179,5754,1150,0,0.0
23,0.0217,5011,1002,0,0.0
23,0.0289,6025,1205,0,0.0
24,0.0222,6309,1261,0,0.0
24,0.0212,5754,1150,0,0.0
24,0.0171,5011,1002,0,0.0
24,0.0102,6025,1205,0,0.0
25,0.0488,5377,958,1,0.2162
25,0.0166,5754,1150,0,0.0
25,0.0186,5011,1002,0,0.0
25,0.0263,6025,1205,0,0.0
26,0.0251,6309,1261,0,0.0
26,0.0285,5754,1150,0,0.0
26,0.0139,5011,1002,0,0.0
26,0.0196,6025,1205,0,0.0
27,0.0118,6309,1261,0,0.0
27,0.0551,5344,975,1,0.1255
27,0.0159,5011,1002,0,0.0
27,0.0111,6025,1205,0,0.0
28,0.019,6309,1261,0,0.0
28,0.0188,5754,1150,0,0.0
28,0.0268,5011,1002,0,0.0
